Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
99	:	1624958639.221	     5.394	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_TN_Kanyakumari
100	:	1624958639.726	     5.329	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_HR_Fatehabad
101	:	1624958640.287	     5.368	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Sundargarh
102	:	1624958640.792	     5.356	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Hoshiarpur
103	:	1624958641.334	     5.394	0	363	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Jharsuguda
104	:	1624958641.888	     5.285	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Kishtwar
106	:	1624958642.931	     4.585	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MZ_Champhai
105	:	1624958642.427	     5.358	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MH_Washim
107	:	1624958643.450	     5.312	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_PB_Fazilka
108	:	1624958643.972	     5.603	0	569	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JK_Kupwara
109	:	1624958644.536	     5.369	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Sonbhadra
110	:	1624958645.056	     5.398	0	358	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_MP_Satna
111	:	1624958645.561	     5.333	0	361	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Aravalli
112	:	1624958646.079	     5.313	0	365	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_OR_Nabarangapur
113	:	1624958646.613	     5.402	0	362	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UT_Bageshwar
114	:	1624958647.126	     5.486	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Maharajganj
115	:	1624958647.649	     5.440	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Deoria
116	:	1624958648.174	     5.297	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_UP_Bijnor
118	:	1624958649.216	     4.607	0	364	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_GJ_Other_State
117	:	1624958648.698	     5.373	0	359	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_KA_Yadgir
119	:	1624958649.751	     5.319	0	360	0	0	/software/Matlab/bin/matlab -nodisplay -r fit_JH_Ramgarh
